"String Length: 30","Deviate Length: 0"
"Number Of Strings","Tri-Quick Sort",""Tri-Quick Sort NR",""American Flag",""Two Array","strSwapStable"
10,7.6573977977648E-03,3.7462861900046E-03,2.58161302623657E-02,2.07875581952455E-02,1.52002558984452E-02
20,0.011568509405525,7.6573977977648E-03,2.66542256068858E-02,2.35812093436456E-02,2.19050186546055E-02
30,1.35240652094051E-02,9.33358848680489E-03,2.83304162959259E-02,1.99494628507254E-02,2.80510511810859E-02
40,1.54796210132852E-02,0.011289144290685,2.94478767552859E-02,2.27431139991256E-02,4.36954976121267E-02
50,1.77145419320053E-02,1.40827954390851E-02,3.16827976740061E-02,2.74923209514058E-02,4.45335929566467E-02
60,2.07875581952455E-02,1.60383512429652E-02,3.16827976740061E-02,2.86097814107659E-02,5.34732766315272E-02
70,2.35812093436456E-02,1.93907326210454E-02,3.36383534778862E-02,0.029727241870126,6.15748649618876E-02
80,2.60954953772058E-02,2.21843837694456E-02,3.47558139372462E-02,3.19621627888461E-02,7.47050253593683E-02
90,0.030285972099806,2.49780349178457E-02,3.61526395114463E-02,2.10669233100855E-02,7.91748671968085E-02
100,0.031124067444326,2.66542256068858E-02,3.72700999708063E-02,3.47558139372462E-02,9.03494717904091E-02
110,3.36383534778862E-02,2.91685116404459E-02,3.97843860043665E-02,3.58732743966063E-02,0.10096534615433
120,3.58732743966063E-02,0.030565337214646,4.03431162340465E-02,2.46986698030057E-02,0.10850820425501
130,4.00637511192065E-02,3.50351790520862E-02,3.97843860043665E-02,2.58161302623657E-02,0.126387571604771
140,4.34161324972867E-02,3.81081953153264E-02,4.34161324972867E-02,2.72129558365658E-02,0.126946301834451
150,4.64891487605268E-02,4.14605766934066E-02,4.39748627269667E-02,2.91685116404459E-02,0.149016145906812
160,4.87240696792469E-02,4.34161324972867E-02,4.42542278418067E-02,2.91685116404459E-02,0.155162178433292
170,5.20764510573271E-02,4.73272441050469E-02,4.67685138753668E-02,0.030285972099806,0.156559004007493
180,5.68256580096074E-02,0.050120895253447,4.81653394495669E-02,3.25208930185261E-02,0.177790752735334
190,6.07367696173676E-02,5.45907370908872E-02,4.76066092198869E-02,4.56510534160068E-02,0.195949485199935
200,6.43685161102878E-02,5.87812138134875E-02,0.049282799908927,4.70478789902069E-02,0.195670120085095
210,6.38097858806077E-02,5.85018486986475E-02,0.050120895253447,3.69907348559663E-02,0.207124089793535
220,0.069397088177408,6.43685161102878E-02,5.20764510573271E-02,0.050120895253447,0.334514582160582
230,7.52637555890483E-02,6.77208974883679E-02,5.23558161721671E-02,5.15177208276471E-02,0.222489171109736
240,7.61018509335684E-02,7.02351835219281E-02,5.48701022057273E-02,4.20193069230866E-02,0.251543143053098
250,8.08510578858486E-02,7.47050253593683E-02,5.59875626650873E-02,4.09018464637265E-02,0.343454265835462
260,8.11304230006886E-02,7.47050253593683E-02,5.76637533541274E-02,4.39748627269667E-02,0.259365366268618
270,8.67177252974889E-02,8.05716927710086E-02,5.82224835838074E-02,5.79431184689674E-02,0.2948447358533
280,0.088952646216209,8.16891532303687E-02,6.04574045025276E-02,5.93399440431675E-02,0.372228872663984
290,9.00701066755691E-02,8.36447090342488E-02,6.21335951915676E-02,6.21335951915676E-02,0.313841563662421
300,9.20256624794492E-02,8.67177252974889E-02,6.21335951915676E-02,6.24129603064077E-02,0.422514593335186
310,0.10040661592465,9.67748694317295E-02,6.52066114548078E-02,6.43685161102878E-02,0.328927279863782
320,0.10096534615433,9.34224880536493E-02,6.80002626032079E-02,6.40891509954478E-02,0.328368549634102
330,0.10655264845113,9.92891554652896E-02,6.80002626032079E-02,6.77208974883679E-02,0.470844758202509
340,0.10711137868081,0.10068598103949,0.068838357947728,6.71621672586879E-02,0.413016179430626
350,0.11465423678149,0.11018439494405,7.21907393258082E-02,7.02351835219281E-02,0.451568565278548
360,0.117447887929891,0.10767010891049,7.27494695554882E-02,7.19113742109682E-02,0.381168556338864
370,0.121358999537651,0.11493360189633,7.49843904742083E-02,7.35875649000082E-02,0.512749525428511
380,0.122476459997011,0.11605106235569,7.49843904742083E-02,7.61018509335684E-02,0.470844758202509
390,0.129739952982851,0.119682808848611,7.77780416226085E-02,7.55431207038883E-02,0.49040031624131
400,0.133930429705451,0.125828841375091,7.97335974264886E-02,7.74986765077684E-02,0.559124134491954
410,0.140355827346772,0.132254239016411,8.16891532303687E-02,8.00129625413286E-02,0.581752708793995
420,0.143987573839692,0.133651064590611,8.36447090342488E-02,8.16891532303687E-02,0.571136834430074
430,0.147898685447452,0.143149478495172,8.64383601826489E-02,8.56002648381289E-02,0.585384455286915
440,0.142311383150652,0.138679636657732,8.53208997232889E-02,9.17462973646092E-02,0.584825725057235
450,0.152368527284892,0.142870113380332,8.67177252974889E-02,9.50986787426894E-02,0.505486032442671
460,0.157117734237173,0.147060590102932,9.03494717904091E-02,8.95113764458891E-02,0.614438427230276
470,0.154324083088772,0.144825669184212,9.25843927091292E-02,9.48193136278493E-02,0.639581287565878
480,0.162425671419133,0.153485987744252,9.11875671349292E-02,9.25843927091292E-02,0.650755892159478
490,0.166057417912053,0.156000273777813,9.39812182833293E-02,9.42605833981693E-02,0.630641603890997
500,0.170806624864333,0.162425671419133,9.84510601207695E-02,9.78923298910895E-02,0.68036859433252
510,0.172482815553373,0.163263766763653,9.76129647762495E-02,9.92891554652896E-02,0.644609859632998
520,0.178349482965014,0.168571703945613,0.10012725080981,0.10068598103949,0.731492410348243
530,0.180025673654054,0.171085989979173,0.10096534615433,0.10403836241757,0.697689231452601
540,0.197905041003815,0.175835196931454,0.10292090195821,0.10292090195821,0.701041612830681
550,0.189803452673454,0.180584403883734,0.10543518799177,0.10850820425501,0.713892408113322
560,0.196787580544455,0.187289166639894,0.10683201356597,0.10878756936985,0.757752731143204
570,0.224165361798776,0.194832024740575,0.119962173963451,0.11297804609245,0.815581309915087
580,0.200698692152215,0.189803452673454,0.11213995074793,0.11241931586277,0.885143223510251
590,0.29428600562362,0.191479643362494,0.11437487166665,0.11660979258537,0.929562276769813
600,0.209638375827095,0.200698692152215,0.11577169724085,0.120520904193131,0.942971802282134
610,0.30713680090626,0.207124089793535,0.11660979258537,0.122476459997011,0.853295600418489
620,0.213549487434856,0.202374882841255,0.118285983274411,0.123035190226691,0.835974963298408
630,0.282552670800339,0.30238759395398,0.120520904193131,0.123873285571211,0.951911485957014
640,0.227797108291696,0.215225678123896,0.123035190226691,0.128063762293811,0.901346400170971
650,0.223885996683936,0.3046225148727,0.123035190226691,0.132533604131251,0.927606720965933
660,0.231987585014297,0.225282822258136,0.126387571604771,0.131695508786731,0.928724181425293
670,0.228635203636216,0.218019329272296,0.126946301834451,0.167454243486253,1.00359403220242
680,0.332279661241862,0.237295522196257,0.129181222753171,0.142590748265492,0.958895613828014
690,0.239530443114977,0.227517743176856,0.131974873901571,0.140914557576452,0.970628948651295
700,0.247911396560177,0.235898696622057,0.133651064590611,0.142870113380332,0.987949585771376
710,0.29288918004942,0.237574887311097,0.136165350624172,0.143708208724852,1.14886389191922
720,0.255174889546018,0.240368538459497,0.136444715739012,0.144825669184212,1.26843216107075
730,0.262159017417018,0.247352666330497,0.140914557576452,0.150971701710692,1.03432419483482
740,0.272774891780939,0.349600298361943,0.141473287806132,0.152927257514572,1.02063530420766
750,0.269143145288018,0.256851080235058,0.141752652920972,0.155720908662973,1.06868610396014
760,0.275289177814499,0.264114573220898,0.143708208724852,0.158793924926213,1.19942897770527
770,0.273612987125459,0.353790775084543,0.145943129643572,0.160190750500413,1.05834959471106
780,0.373066968008504,0.269701875517698,0.166057417912053,0.164101862108173,1.10416547354482
790,0.29009552890102,0.370552681974944,0.147339955217772,0.166616148141733,1.08181626435762
800,0.385638398176305,0.279479654537099,0.152089162170052,0.168851069060453,1.17121310110643
810,0.385917763291145,0.373066968008504,0.151809797055212,0.260203461613138,1.13014642922494
820,0.327530454289582,0.287022512637779,0.152647892399732,0.173879641127573,1.32570200961295
830,0.30127013349462,0.29428600562362,0.156838369122333,0.176114562046294,1.22596866361507
840,0.309930452054661,0.387314588865345,0.156559004007493,0.190920913132814,1.42124487888824
850,0.321663786877941,0.29987330792042,0.165498687682373,0.181701864343094,1.33547978863235
860,0.326692358945061,0.332559026356702,0.160470115615253,0.216901868812936,1.27541628894175
870,0.339822519342542,0.311327277628861,0.185892341065694,0.188406627099254,1.31704169105291
880,0.458552693149548,0.412178084086106,0.164381227223013,0.195111389855415,1.64976554282737
890,0.324457438026341,0.401282844607345,0.164939957452693,0.188685992214094,1.31452740501935
900,0.426705070057787,0.410781258511906,0.164939957452693,0.195390754970255,1.39526392320812
910,0.331441565897342,0.414692370119666,0.166616148141733,0.187009801525054,1.44359408807544
920,0.340381249572222,0.325854263600541,0.171085989979173,0.198184406118655,1.28184168658307
930,0.443466976948188,0.340381249572222,0.169968529519813,0.192317738707014,1.40504170222752
940,0.448495549015308,0.342336805376102,0.171644720208853,0.194273294510895,1.45420996243936
950,0.446539993211428,0.430895546780387,0.174438371357254,0.210476471171615,1.44638773922384
960,0.473359044236069,0.463022534986989,0.175835196931454,0.212990757205176,1.42347979980696
970,0.464139995446349,0.397092367884745,0.176952657390814,0.215505043238736,1.70116872395793
980,0.458273328034708,0.350997123936143,0.178070117850174,0.219695519961336,1.81040048386038
990,0.478108251188349,0.391225700473105,0.180584403883734,0.221651075765216,1.5005845715028
1000,0.462743169872149,0.359378077381343,0.180863768998574,0.232546315243977,1.52265441557516
